activity_id,opportunity_id,sales_agent,activity_date,activity_type,activity_outcome
ACT-000001,1C1I7A6R,Moses Frase,2016-11-19 08:00:00,Meeting,Completed
ACT-000002,1C1I7A6R,Moses Frase,2016-10-20 09:00:00,Call,Responded
ACT-000003,1C1I7A6R,Moses Frase,2016-10-30 08:00:00,Meeting,Completed
ACT-000004,Z063OYW0,Darcel Schlecht,2017-01-11 17:00:00,Call,Completed
ACT-000005,Z063OYW0,Darcel Schlecht,2017-02-07 11:00:00,Call,Responded
ACT-000006,Z063OYW0,Darcel Schlecht,2017-02-22 14:00:00,Demo,Not interested
ACT-000007,Z063OYW0,Darcel Schlecht,2017-03-11 13:00:00,Email,No answer
ACT-000008,Z063OYW0,Darcel Schlecht,2016-10-29 11:00:00,Demo,Connected
ACT-000009,Z063OYW0,Darcel Schlecht,2017-03-06 14:00:00,Demo,Rescheduled
ACT-000010,Z063OYW0,Darcel Schlecht,2016-12-06 15:00:00,Demo,No answer
ACT-000011,EC4QE1BX,Darcel Schlecht,2016-12-20 16:00:00,Email,Completed
ACT-000012,EC4QE1BX,Darcel Schlecht,2016-12-14 08:00:00,Follow-up,Connected
ACT-000013,EC4QE1BX,Darcel Schlecht,2017-03-06 08:00:00,Email,Completed
ACT-000014,EC4QE1BX,Darcel Schlecht,2017-01-14 11:00:00,Email,Not interested
ACT-000015,EC4QE1BX,Darcel Schlecht,2016-11-04 13:00:00,Email,Rescheduled
ACT-000016,EC4QE1BX,Darcel Schlecht,2016-11-02 12:00:00,Meeting,Interested
ACT-000017,EC4QE1BX,Darcel Schlecht,2016-10-29 09:00:00,Call,Not interested
ACT-000018,EC4QE1BX,Darcel Schlecht,2017-03-05 08:00:00,Demo,Not interested
ACT-000019,EC4QE1BX,Darcel Schlecht,2016-11-21 17:00:00,Email,Responded
ACT-000020,MV1LWRNH,Moses Frase,2016-12-20 13:00:00,Meeting,Rescheduled
ACT-000021,MV1LWRNH,Moses Frase,2016-12-14 15:00:00,Meeting,Interested
ACT-000022,MV1LWRNH,Moses Frase,2017-01-25 15:00:00,Email,Not interested
ACT-000023,MV1LWRNH,Moses Frase,2016-12-05 13:00:00,Meeting,Not interested
ACT-000024,MV1LWRNH,Moses Frase,2016-12-06 17:00:00,Meeting,No answer
ACT-000025,PE84CX4O,Zane Levy,2017-02-21 17:00:00,Meeting,Interested
ACT-000026,PE84CX4O,Zane Levy,2016-11-22 08:00:00,Follow-up,Rescheduled
ACT-000027,PE84CX4O,Zane Levy,2017-02-18 10:00:00,Demo,Rescheduled
ACT-000028,ZNBS69V1,Anna Snelling,2016-11-07 14:00:00,Email,Rescheduled
ACT-000029,ZNBS69V1,Anna Snelling,2016-11-04 17:00:00,Call,Responded
ACT-000030,ZNBS69V1,Anna Snelling,2016-12-30 08:00:00,Demo,Interested
ACT-000031,ZNBS69V1,Anna Snelling,2017-02-16 10:00:00,Follow-up,Not interested
ACT-000032,ZNBS69V1,Anna Snelling,2016-12-01 13:00:00,Demo,Rescheduled
ACT-000033,ZNBS69V1,Anna Snelling,2016-11-21 09:00:00,Call,Interested
ACT-000034,9ME3374G,Vicki Laflamme,2017-01-05 11:00:00,Meeting,Connected
ACT-000035,9ME3374G,Vicki Laflamme,2017-02-25 09:00:00,Email,Responded
ACT-000036,9ME3374G,Vicki Laflamme,2017-01-09 08:00:00,Demo,Not interested
ACT-000037,9ME3374G,Vicki Laflamme,2016-12-02 09:00:00,Email,No answer
ACT-000038,9ME3374G,Vicki Laflamme,2017-02-09 12:00:00,Demo,Connected
ACT-000039,9ME3374G,Vicki Laflamme,2016-10-30 14:00:00,Follow-up,Not interested
ACT-000040,7GN8Q4LL,Markita Hansen,2016-12-17 14:00:00,Demo,Not interested
ACT-000041,7GN8Q4LL,Markita Hansen,2017-02-11 13:00:00,Meeting,Completed
ACT-000042,7GN8Q4LL,Markita Hansen,2017-02-10 11:00:00,Meeting,Interested
ACT-000043,7GN8Q4LL,Markita Hansen,2016-12-25 11:00:00,Meeting,No answer
ACT-000044,7GN8Q4LL,Markita Hansen,2017-01-16 12:00:00,Call,Connected
ACT-000045,7GN8Q4LL,Markita Hansen,2017-02-01 09:00:00,Call,Responded
ACT-000046,7GN8Q4LL,Markita Hansen,2016-11-22 11:00:00,Demo,Interested
ACT-000047,OLK9LKZB,Niesha Huffines,2017-01-14 11:00:00,Meeting,Interested
ACT-000048,OLK9LKZB,Niesha Huffines,2016-11-22 17:00:00,Meeting,Completed
ACT-000049,OLK9LKZB,Niesha Huffines,2017-01-20 12:00:00,Call,Connected
ACT-000050,OLK9LKZB,Niesha Huffines,2017-02-27 14:00:00,Demo,Not interested
ACT-000051,HAXMC4IX,James Ascencio,2016-12-02 10:00:00,Call,Responded
ACT-000052,HAXMC4IX,James Ascencio,2016-11-16 14:00:00,Meeting,Not interested
ACT-000053,HAXMC4IX,James Ascencio,2016-11-14 14:00:00,Email,Connected
ACT-000054,HAXMC4IX,James Ascencio,2016-11-13 10:00:00,Email,Completed
ACT-000055,HAXMC4IX,James Ascencio,2016-11-08 15:00:00,Call,Connected
ACT-000056,NL3JZH1Z,Anna Snelling,2017-01-30 10:00:00,Demo,Completed
ACT-000057,NL3JZH1Z,Anna Snelling,2016-11-12 09:00:00,Email,Interested
ACT-000058,NL3JZH1Z,Anna Snelling,2016-12-04 14:00:00,Demo,Rescheduled
ACT-000059,NL3JZH1Z,Anna Snelling,2017-02-24 14:00:00,Demo,Rescheduled
ACT-000060,NL3JZH1Z,Anna Snelling,2016-11-28 14:00:00,Meeting,Responded
ACT-000061,NL3JZH1Z,Anna Snelling,2017-02-04 11:00:00,Demo,Responded
ACT-000062,NL3JZH1Z,Anna Snelling,2017-01-24 10:00:00,Demo,Connected
ACT-000063,NL3JZH1Z,Anna Snelling,2016-11-17 10:00:00,Follow-up,Not interested
ACT-000064,NL3JZH1Z,Anna Snelling,2017-01-31 12:00:00,Meeting,Rescheduled
ACT-000065,KWVA7VR1,Gladys Colclough,2016-11-04 08:00:00,Demo,No answer
ACT-000066,KWVA7VR1,Gladys Colclough,2016-12-23 12:00:00,Email,Connected
ACT-000067,KWVA7VR1,Gladys Colclough,2016-12-17 09:00:00,Email,Responded
ACT-000068,KWVA7VR1,Gladys Colclough,2016-11-25 15:00:00,Call,Not interested
ACT-000069,KWVA7VR1,Gladys Colclough,2017-01-20 15:00:00,Demo,Completed
ACT-000070,S8DX3XOU,James Ascencio,2016-12-19 16:00:00,Meeting,No answer
ACT-000071,S8DX3XOU,James Ascencio,2016-12-30 08:00:00,Call,Interested
ACT-000072,S8DX3XOU,James Ascencio,2017-01-16 10:00:00,Meeting,Connected
ACT-000073,S8DX3XOU,James Ascencio,2016-11-21 14:00:00,Email,Completed
ACT-000074,ENB2XD8G,Maureen Marcano,2016-12-31 11:00:00,Demo,Interested
ACT-000075,ENB2XD8G,Maureen Marcano,2017-01-13 16:00:00,Follow-up,Not interested
ACT-000076,ENB2XD8G,Maureen Marcano,2016-11-30 10:00:00,Call,Rescheduled
ACT-000077,ENB2XD8G,Maureen Marcano,2017-01-21 16:00:00,Follow-up,Rescheduled
ACT-000078,ENB2XD8G,Maureen Marcano,2017-02-28 16:00:00,Follow-up,Rescheduled
ACT-000079,ENB2XD8G,Maureen Marcano,2017-02-26 14:00:00,Call,Completed
ACT-000080,ENB2XD8G,Maureen Marcano,2016-11-09 16:00:00,Email,Responded
ACT-000081,ENB2XD8G,Maureen Marcano,2017-02-25 11:00:00,Email,No answer
ACT-000082,ENB2XD8G,Maureen Marcano,2017-02-26 16:00:00,Email,Responded
ACT-000083,ENB2XD8G,Maureen Marcano,2016-12-15 09:00:00,Email,Not interested
ACT-000084,09YE9QOV,Hayden Neloms,2016-11-15 09:00:00,Follow-up,Completed
ACT-000085,09YE9QOV,Hayden Neloms,2016-11-17 13:00:00,Call,Completed
ACT-000086,09YE9QOV,Hayden Neloms,2016-11-18 13:00:00,Email,Not interested
ACT-000087,09YE9QOV,Hayden Neloms,2017-02-21 12:00:00,Call,No answer
ACT-000088,09YE9QOV,Hayden Neloms,2017-02-14 10:00:00,Follow-up,Completed
ACT-000089,09YE9QOV,Hayden Neloms,2017-03-09 12:00:00,Demo,No answer
ACT-000090,09YE9QOV,Hayden Neloms,2017-01-05 08:00:00,Follow-up,Completed
ACT-000091,09YE9QOV,Hayden Neloms,2016-12-22 11:00:00,Call,Responded
ACT-000092,3F5MZNEH,Rosalina Dieter,2017-02-09 17:00:00,Demo,Connected
ACT-000093,3F5MZNEH,Rosalina Dieter,2017-01-29 13:00:00,Call,Responded
ACT-000094,3F5MZNEH,Rosalina Dieter,2016-12-24 08:00:00,Meeting,Responded
ACT-000095,3F5MZNEH,Rosalina Dieter,2017-01-19 17:00:00,Follow-up,Not interested
ACT-000096,3F5MZNEH,Rosalina Dieter,2016-11-15 12:00:00,Call,Completed
ACT-000097,M6WEJXC0,Rosalina Dieter,2016-12-25 16:00:00,Meeting,Rescheduled
ACT-000098,M6WEJXC0,Rosalina Dieter,2016-12-26 11:00:00,Meeting,Rescheduled
ACT-000099,M6WEJXC0,Rosalina Dieter,2016-11-14 14:00:00,Meeting,Connected
ACT-000100,M6WEJXC0,Rosalina Dieter,2016-12-10 14:00:00,Email,Not interested
ACT-000101,M6WEJXC0,Rosalina Dieter,2016-12-20 13:00:00,Email,Interested
ACT-000102,M6WEJXC0,Rosalina Dieter,2016-12-18 11:00:00,Follow-up,Completed
ACT-000103,M6WEJXC0,Rosalina Dieter,2017-01-19 17:00:00,Call,Not interested
ACT-000104,M6WEJXC0,Rosalina Dieter,2016-12-09 13:00:00,Demo,Rescheduled
ACT-000105,6PTR7VBR,Versie Hillebrand,2017-01-22 17:00:00,Call,Connected
ACT-000106,6PTR7VBR,Versie Hillebrand,2016-11-29 16:00:00,Email,Rescheduled
ACT-000107,6PTR7VBR,Versie Hillebrand,2017-01-04 11:00:00,Demo,Rescheduled
ACT-000108,6PTR7VBR,Versie Hillebrand,2016-12-29 14:00:00,Email,Responded
ACT-000109,6PTR7VBR,Versie Hillebrand,2017-03-05 15:00:00,Demo,Responded
ACT-000110,6PTR7VBR,Versie Hillebrand,2016-11-18 14:00:00,Demo,Responded
ACT-000111,902REDPA,Daniell Hammack,2017-02-24 15:00:00,Email,No answer
ACT-000112,902REDPA,Daniell Hammack,2016-12-16 14:00:00,Follow-up,Connected
ACT-000113,902REDPA,Daniell Hammack,2016-12-31 12:00:00,Meeting,Not interested
ACT-000114,902REDPA,Daniell Hammack,2016-11-09 12:00:00,Meeting,Not interested
ACT-000115,902REDPA,Daniell Hammack,2017-01-21 17:00:00,Follow-up,Rescheduled
ACT-000116,902REDPA,Daniell Hammack,2017-02-15 13:00:00,Demo,Not interested
ACT-000117,902REDPA,Daniell Hammack,2016-12-27 10:00:00,Email,No answer
ACT-000118,902REDPA,Daniell Hammack,2016-12-19 08:00:00,Demo,Not interested
ACT-000119,902REDPA,Daniell Hammack,2017-03-01 15:00:00,Demo,Connected
ACT-000120,5J9CMGDV,Elease Gluck,2017-02-03 11:00:00,Meeting,Responded
ACT-000121,5J9CMGDV,Elease Gluck,2017-01-25 12:00:00,Follow-up,Rescheduled
ACT-000122,5J9CMGDV,Elease Gluck,2016-12-30 11:00:00,Email,Responded
ACT-000123,5J9CMGDV,Elease Gluck,2016-11-10 08:00:00,Call,Not interested
ACT-000124,5J9CMGDV,Elease Gluck,2016-11-18 17:00:00,Demo,No answer
ACT-000125,5J9CMGDV,Elease Gluck,2017-01-17 17:00:00,Demo,Not interested
ACT-000126,5J9CMGDV,Elease Gluck,2016-12-03 12:00:00,Demo,Responded
ACT-000127,5J9CMGDV,Elease Gluck,2016-12-24 14:00:00,Email,No answer
ACT-000128,5J9CMGDV,Elease Gluck,2017-02-16 10:00:00,Email,Rescheduled
